image_path,split,true_label,white_region_fraction,white_largest_component_pixels,white_largest_component_border_share,white_largest_component_bbox_fill,has_substantial_white_region,edge_fraction,largest_edge_component_pixels,edge_border_fraction,has_coast_or_land_water_candidate,dark_pixel_fraction,dark_largest_component_pixels,dark_largest_component_border_share,dark_largest_component_bbox_fill,dark_largest_component_elongation,has_dark_linear_or_curvilinear_candidate,predicted_probability,predicted_label,error_type
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_1\1\1840_13400_6600_img_TygUMBxYHjeBJvMH_SIN_cls_1.jpg,train,1,0.09505625,14998,0.029470596079477263,0.5026139410187668,1,0.02755625,3976,0.12928101610342482,1,0.03109375,2606,0.011895625479662318,0.07403409090909091,47.70915107468662,1,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\1495_7000_6600_img_V6HIzqkhXpIkYs9r_GBR_cls_0.jpg,train,0,0.05715625,8813,0.0,0.33730097979179424,1,0.0166625,2113,0.0,0,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\1434_7800_6000_img_PG814dc0GUyxOTwa_GBR_cls_0.jpg,train,0,0.001325,212,0.08962264150943396,0.654320987654321,0,0.00385,203,0.3068181818181818,1,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\416_3600_2200_img_7EgumomBEuOIvB04_SIN_cls_0.jpg,train,0,0.2442875,33357,0.0068051683304853556,0.6529321954274977,1,0.01884375,787,0.03814262023217247,0,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\113_7400_1600_img_egeAU8IBuP6ftCcp_GBR_cls_0.jpg,train,0,0.009075,1449,0.0883367839889579,0.48787878787878786,0,0.00725,627,0.4646551724137931,1,0.00594375,951,0.03890641430073607,0.19738480697384808,18.899076282596795,1,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\760_11200_8200_img_4hJlxNOYPy54oNV8_GBR_cls_0.jpg,train,0,0.8554,136773,0.008912577774853225,0.85483125,1,0.024675,3329,0.10815602836879433,0,0.03319375,3902,0.006406970784213224,0.21569928137092317,2.5602002952280527,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\0_0_0_img_2SOKXKzZRl06rCcd_GBR_cls_0.jpg,train,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\2824_5800_9600_img_0gXYTV995HbO1kjs_GBR_cls_0.jpg,train,0,0.580325,92852,0.009294360918450867,0.8290357142857143,1,0.0112125,1794,0.061872909698996656,0,0.0126875,114,0.0,0.4523809523809524,2.5165059277226787,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_1\1\1169_9200_4400_img_ULldUdDV0djstMQ5_SIN_cls_1.jpg,train,1,0.0,0,0.0,0.0,0,0.000575,30,0.0,0,0.00198125,76,0.0,0.7755102040816326,2.558437731280298,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_1\1\4_200_200_img_JpiIZN3pVmaym4T9_Ja_crop30220_12500_4500_img_JpiIZN3pVmaym4T9_JAV_cls_1.jpg,train,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_1\1\7_600_200_img_YNRcLdBVJEk8D60Z_JAV_cls_1.jpg,train,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,
C:\Users\amit nagar\Projects\oilguard\data\CSIRO\S1SAR_UnBalanced_400by400_Class_0\0\1227_11000_4800_img_eHUtuqB3YVjOnME4_SIN_cls_0.jpg,train,0,0.0,0,0.0,0.0,0,0.00013125,21,0.0,0,0.0,0,0.0,0.0,0.0,0,,,
